COMPANY NAME,REPORTING YEAR,NITROGEN,SULPHUR,AIR CADMIUM,AIR MERCURY,ANNUAL REVENUE,HEADCOUNT,SCOPE 1 EMISSIONS TOTAL,SCOPE 2 EMISSION TOTAL,CONSUMPTION TOTAL ENERGY,COAL,DIESEL,MOTOR GASOLINE,NATURAL GAS,TOTAL WATER DISCHARGE OR WASTEWATER GENERATION,CHEMICAL OXYGEN DEMAND,TOTAL WASTE GENERATED,DISPOSED NON HAZARDOUS WASTE,FLY ASH,CONSTRUCTION DEBRIS,RECOVERED OR RECYCLED TOTAL WASTE,OVERBURDEN IN MINING,WASTE INCINERATED,WASTE TO LANDFILL,TOTAL HAZARDOUS WASTE GENERATED,TOTAL NON HAZARDOUS WASTE GENERATED,WASTE COMPOSTED,RECOVERED HAZARDOUS WASTE,RECOVERED NON HAZARDOUS WASTE,DISPOSED TOTAL WASTE,DISPOSED HAZARDOUS WASTE,WITHDRAWAL TOTAL WATER,RECYCLED WATER OR REUSE WATER OR TREATED WATER,CONSUMPTION TOTAL WATER,WITHDRAWAL TOTAL FRESHWATER
ALLIANZ,2020,,,,,155687.3448,150269,28714,,588968.936,,,,,,,,,,,,,5210.99,2591.1,,14395,,,6564.12,,,,,1592564,
ALLIANZ,2021,,,,,175690.6354,155411,28699,,539791.1543,,,,,,,,,,,,,4367.17,2038.82,,12064,,,5621.82,,,,,1237598,
ALPHABET INC-A,2016,,,,,90272,72053,66218,,6513720,,,,,,,,,,,34877,,,8181.02,,43058,,,,,,9463529.45,,9463520,
ALPHABET INC-A,2017,,,,,110855,80110,66549,,8029410,,,,,,,,,,,44291.3,,,9071.71,,53363,,,,,,11624999.58,,11625000,
ALPHABET INC-A,2018,,,,,136819,98771,63521,,10572500,,,,,,,,,,,45690.4,,,11422.6,,57113,,,,,,15785167.12,,15785200,
ALPHABET INC-A,2019,,,,,161857,118899,66686,,12749500,,,,,6620680,,,,,,39228.9,,,12388.1,,51617,,,,,,19536500,,12915800,
ALPHABET INC-A,2020,,,,,182527,135301,38694,,15439538,,,,,7343698.853,,,,,,22225.28,,,6638.72,,28864,,,,,,21535207.62,,14191508.76,
ALPHABET INC-A,2021,,,,,257637,156500,45073,,18571659,,,,,6567689.438,,,,,,21677.81,,,6475.19,,28153,,,,,,23836737.98,,17269048.54,
AMAZON.COM INC,2016,,,,,135987,341400,2272176,1818190,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZON.COM INC,2017,,,,,177866,566000,2971922,2378126,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZON.COM INC,2018,,,,,232887,647500,4980000,4710000,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZON.COM INC,2019,,,,,280522,798000,5760000,5500000,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZON.COM INC,2020,,,,,386064,1298000,9620000,5270000,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZON.COM INC,2021,,,,,469822,1608000,12110000,4070000,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLE,2016,,,,,215639,116000,34370,,,,10380,,132970,,,29393.80054,,,,12588.7,,,9651.28,1021.13,,6132.74,,,,,2384810,0,,0
APPLE,2017,,,,,229234,123000,45400,,,,21360,,165330,,,52973.13121,,,,30872.5,,,14105,1492.28,,6503.35,,,,,3785410,90849.8,,3391730
APPLE,2018,,,,,265595,132000,54590,,,,24810,,189280,,,52024.10798,,,,30127.6,,,14452.2,2802.59,,4641.71,,,,,4762050,238481,,3993610
APPLE,2019,,,,,260174,137000,50540,,,,18970,,190260,,,57483.55965,,,,32797.9,,,17105.9,2721.69,,4858.09,,,,,4989170,401253,,4357010
APPLE,2020,,,,,274515,147000,47430,,,,10940,,202360,,,44991.68605,,,,28838.66608,,,11529.72089,1809.720487,,2813.578594,,,,,4871822.67,427751.33,,4421358.88
APPLE,2021,,,,,365817,154000,55200,,,,20730,34880,203010,2918552.482,,51660.81299,14822.42494,,,33101.42017,,,14822.42494,1574.037225,,2162.930648,,,,,5326074.374,533743.061,,4765833.431
APPLE,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T,2016,,,,,163786,268540,1080000,,20000000,,,,,,,,,,,,,,,,,,,,,,,,11620000,
AT&T,2017,,,,,160546,254000,1070000,6950000,19500000,,,,,,,201395,,,,67585,,,,,,,,,,,,,9840000,
AT&T,2018,,,,,170756,268220,1020000,6660000,18700000,,,,,,,191865,,,,72412,,12.17,116081.23,162.2,191703,,79.96,72323,,,,,9650000,
AT&T,2019,,,,,181193,247800,990000,5530000,17900000,,,,,,,245645,,,,91995,,4.03,152707,24.89,245620,,4.84,91958,,,,,11400000,
AT&T,2020,,,,,171760,230760,1040000,,17500000,,625173,1858128,433589,,,199749,,,,80008,,2.6,117698.1,35.51,199714,1296,13.9,79994,,,,,10130000,
AT&T,2021,,,,,168864,203000,997129,,17000000,,,,510580,,,190223,,,,76626,,1.82,112181.93,168.81,190054,874,132.01,76494,,,,,10150000,
AXA,2016,,,,,110861.7838,115819,34246,57289,404466,,,,,,,,,,,,,,,,8960,,,4253,,,,,1008150,
AXA,2017,,,,,111102.3426,115328,"32,950",55120,363283,,,,,,,,,,,,,,,,7889,,,3588,,,,,927017,
AXA,2018,,,,,121422.5013,124355,38778,69160,344684,,,,,,,,,,,,,,,,7735,,,3223,,,,,1003960,
AXA,2019,,,,,115899.4151,121337,37889,62765,305484,,,,,,,,,,,,,,,,6935,,,2289,,,,,850506,
AXA,2020,,,,,107212.6094,117623,26292,40894,260992,,,,,,,,,,,,,,,,5430,,,2715,,,,,566155,
AXA,2021,,,,,118219.8011,114749,23362,56767,233927,,,,,,,,,,,,,,,,4289,,,2144.5,,,,,370300,
BANK OF AMERICA CORP,2016,21,1,,,83701,210247,84825,,2450468.252,,,,242386.9391,6564000,,113191,39820,,,73370,,,,,113191,,642,72728,39821,1,8380000,,,
BANK OF AMERICA CORP,2017,20,1,,,87126,209376,59451,,2372102.69,,,,234903.2681,6375000,,100657,45690,,,54965,,,,,100657,,1051,53914,45692,2,8010000,,,
BANK OF AMERICA CORP,2018,20,1,,,91020,204489,62258,,2303729.907,,,,246242.2477,6038000,,95089,42424,,,52664,,,,,95089,,670,51994,42424,1,7730000,,,
BANK OF AMERICA CORP,2019,20,1,,,91244,208131,62639,,2254529.347,,,,248405.8761,,,103428,43032,,,60363,,,,,102961,,466,59897,43033,0.5,7550000,,,
BANK OF AMERICA CORP,2020,19,1,,,85528,213000,53390,,2109927.113,,,,209163.8955,,,76752,29115,,,47637,,,,,76241,,511,47126,29115,0.7,6690000,,,
BANK OF AMERICA CORP,2021,19,1,,,89113,208000,57076,,2062120.165,,,,210720.8502,,,67282,21957,,,45325,,,,,66775,,507,44818,21957,0.5,6325000,,,
BERKSHIRE HATHAWAY B,2016,,,,,215114,367671,732137,542198,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKSHIRE HATHAWAY B,2017,,,,,239933,377291,732137,542201,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKSHIRE HATHAWAY B,2018,,,,,247837,389373,732137,542202,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKSHIRE HATHAWAY B,2019,,,,,254616,391539,732137,542203,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKSHIRE HATHAWAY B,2020,,,,,245510,360000,732137,542202,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKSHIRE HATHAWAY B,2021,,,,,276094,371653,732137,542205,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW STAMM,2016,599,8,,,104189.6954,124729,562146,868089,5783841,,,,2575089,3312562,2085.398,762924,3732,,,754486,,,,35074,727364,,30855,723632,7951,4219,,,5017816,
BMW STAMM,2017,642,10,,,110801.3317,129932,625072,510911,5852666,,,,2624557,3633306,2273.678,785209,4039,,,776179,,,,41371,743838,,36379,739799,9031,4992,,,5073220,
BMW STAMM,2018,722,11,,,114318.2569,134682,581703,538622,5788965,,,,2669457,3432982,1902.577,789817,5189,,,779911,,,,41976,747841,,37259,742652,9906,4717,,,5425073,
BMW STAMM,2019,693,10,,,116658.4056,126016,642259,302574,5974625,,,,3005902,3578497,1960.211,780911,4855,,,771162,,,,49466,731445,,44572,726590,9749,4894,,,5417428,
BMW STAMM,2020,670,11,,,109725.4655,120726,678967,130090,6040824,,,,3206948,3378877,1491.848,775459,3286,,,,,,,48149,727311,,44267,724025,,3882,,,4722310,
BMW STAMM,2021,,,,,131597.3267,118909,699713,134849,6476955,,,,3517068,,,829498,,,,822848,,,,,,,,,6650,,,,4924477,
BP,2016,125000,36000,,,183008,74500,51400000,6200000,210833350.2,,,,,76000000,3307,,,,,130400,,,,228400,242400,,,,,,,800000,87400000,255700000
BP,2017,122000,35000,,,240208,74000,50500000,6100000,206111127.6,,,,,80000000,2650,,,,,136000,,,,171000,286500,,,,,,,600000,90500000,274900000
BP,2018,115000,32000,,,298756,73000,48800000,5400000,209722239,,,,,78000000,2804,,,,,112700,,,,182800,241500,,,,,,,2200000,88200000,268800000
BP,2019,110000,23000,,,159307,70100,49200000,5200000,211111128,,,,,78000000,2825,,,,,194000,,,,142600,228300,,,,,,,2300000,91100000,281000000
BP,2020,79000,19000,,,105944,63600,41700000,3800000,180460000,,4130000,,153140000,76000000,2340,,203100,,,,,,,133700,406300,,53100,203200,,80600,,3100000,75400000,275600000
BP,2021,43000,10000,,,157739,65900,33200000,2400000,128805000,,,,,59000000,1741,,175600,,,,,,,156500,370100,,59100,194500,,97400,,2400000,53600000,239400000
CHEVRON CORP,2016,148000,66000,,,110215,51953,66000000,,243333352.8,,,,,,,,,,,,,,,600000,,,300000,,,400000,,,79000000,80000000
CHEVRON CORP,2017,147000,52000,,,134674,51754,67000000,,246944464.2,,,,,,,,,,,,,,,400000,,,100000,,,300000,,,71000000,72000000
DEUTSCHE TELEKOM,2020,,,,,111953.4269,226291,235261,,12800000,,359271.581,180020.7218,,,,,,,,,,,,7886,70528,,,,,,,,2815364,
DEUTSCHE TELEKOM,2021,,,,,128711.9549,216528,218731,,13300000,,317075.8023,155104.209,,,,86636,,,,,,,,7312,79325,,,,,,,,2634203,
EXXON MOBIL CORP,2016,130000,110000,,,200628,71000,105000000,8000000,416666666.7,,,,,,,,,,,,,,,1500000,,,,,,,,,280000000,430000000
EXXON MOBIL CORP,2017,120000,100000,,,237162,70000,100000000,9000000,388888888.9,,,,,,,,,,,,,,,1700000,,,,,,,,,290000000,440000000
EXXON MOBIL CORP,2018,120000,100000,,,279332,71000,101000000,9000000,416666666.7,,,,,,,,,,,,,,,1200000,,,,,,,,,310000000,470000000
EXXON MOBIL CORP,2019,120000,90000,,,255583,75000,97000000,9000000,4166666667,,,,,,,,,,,,,,,1600000,,,,,,,,,300000000,460000000
EXXON MOBIL CORP,2020,100000,70000,,,178574,72000,92000000,7000000,416666666.7,,,,,,,,,,,,,,,1000000,,,,,,,,,300000000,460000000
EXXON MOBIL CORP,2021,,,,,276692,63000,92000000,7000000,416666666.7,,,,,,,,,,,,,,,,,,,,,,,,,
FACEBOOK INC-A,2016,,,,,27638,17048,9000,,,,,,,,,,,,,,,,,,,,,,,,1129000,426000,,
FACEBOOK INC-A,2017,,,,,40653,25105,25000,591000,,,,,,,,,,,,,,,,,,,,,,,1609000,469000,838000,
FACEBOOK INC-A,2018,,,,,55838,33587,42000,314000,,,,,,,,,,,,,,,,,,,,,,,2367000,673000,1279000,
FACEBOOK INC-A,2019,,,,,70697,44942,44000,208000,,,,,,,,,,,,,,,,,,,,,,,3430000,854000,1971000,
FACEBOOK INC-A,2020,,,,,85965,58604,29000,9000,7520833.935,,,,,1524000,,,,,,,,,,,,,,,,,3726000,643000,2202000,
FACEBOOK INC-A,2021,,,,,117929,71970,55000,2000,10275834.16,,242220.98,37104.76,184737.1305,2474000,,,,,,,,,,,,,,,,,5043000,580000,2569000,
FORD MOTOR CO,2016,,,,,151800,201000,1300000,3310000,,,,,,11000000,,,,,,,,,,,,,,,,,,,24700000,
FORD MOTOR CO,2017,,,,,156776,202275,1320000,3120000,,,,,,11200000,,,,,,,,20300,24500,,,4800,,,,,,,24100000,
FORD MOTOR CO,2018,,,,,160338,198964,1270000,3110000,13800000,,,,,10300000,,1360000,,,,,,14300,24100,51700,1303100,5500,17600,1207500,,,,,22300000,
FORD MOTOR CO,2019,,,,,155900,190433,1140000,2600000,12970000,,,,,9100000,,1216000,,,,,,11600,27200,44200,1166000,5600,15500,1080100,,,19417000,,19400000,
FORD MOTOR CO,2020,,,,,127144,186401,940000,2020000,10440000,,,,,6300000,,986000,,,,,,8800,17500,39600,946300,2900,19800,905800,,,,,15600000,
FORD MOTOR CO,2021,,,,,136341,182789,1080000,2070000,9840000,,,,,7100000,,,,,,,,10500,16300,36800,,3100,10400,762500,,,,,14200000,
HSBC HOLDINGS (GB),2016,,,,,41180,235175,"25,719",444110,1250000,,,,,,,,8000,,,,,,,,26000,,,18000,,,,,2841000,
HSBC HOLDINGS (GB),2017,,,,,40028,228687,27648,,1134000,,,,,,,,8000,,,,,,,,25000,,,16000,,,,,2691000,
HSBC HOLDINGS (GB),2018,,,,,45139,240578,26403,,1092000,,,,,,,,8000,,,,,,,,23000,,,14000,,,,,2425000,
HSBC HOLDINGS (GB),2019,,,,,41487,240946,28025,,1049000,,,,,,,,8000,,,,,,,,21000,,,13000,,,,,2400000,
HSBC HOLDINGS (GB),2020,,,,,38080,231040,25228,,928000,,,,,,,,7000,,,,,,,,17000,,,10000,,,,,2065000,
HSBC HOLDINGS (GB),2021,,,,,37139,219697,22000,307000,833,,,,,,,13000,,,,8000,,,,,,,,,5000,,,,1594000,
ICBC H,2021,,,,,,,3906,62602,,,,,,,,,,,,,,,,,,,,,,,,,,
INTEL CORP,2016,,,,,59387,106000,976000,,6500000,,,,,32009440,,177000,,,,,,,12390,63600,81000,,49700,66000,,,,17428030,,35580000
INTEL CORP,2017,235.8,,,,62761,102700,1490000,,7330000,,13000,,1390000,34390500,,183000,,,,,,,16470,78800,108000,,53800,92000,,,,13260000,10288740,42055000
INTEL CORP,2018,306,,,,70848,107400,1458000,,8340000,,18000,,1620000,40168000,,205000,,,,,,,14350,95200,129000,,64900,116000,,,51710000,16475000,11541000,48421000
INTEL CORP,2019,342,,,,71965,110800,1489000,,9570000,,13000,,1800000,43621000,,387000,,,,,,,11610,124700,262000,,100400,244000,,,54651000,16477000,11028000,47546000
INTEL CORP,2020,405,,,,77867,110600,1973000,909000,10650000,,10000,,1830000,47261000,,414000,,,,,,,20700,143000,271200,,111540,254928,,,60279000,13017000,13017000,52428000
INTEL CORP,2021,513.9,,,,79000,121100,2181000,,11638889.82,,12000,,1990000,49739000,,344000,,,,,,,17200,148000,109900,,109520,97811,,,60530000,,10791000,54102000
JOHNSON&JOHNSON,2016,292,68,,,71890,126400,463622,,3558610,,175279,,1421120,7780000,,0,,,,0,,12170,19599,52392,125526,,36724,91609,,,0,880000,4210000,10680000
JOHNSON&JOHNSON,2017,290,99,,,76450,134000,474497,,3523610,,258058,,1358900,7650000,,0,,,,0,,7477,19681,48743,137732,,37833,105522,,,0,910000,4480000,11390000
JOHNSON&JOHNSON,2018,288,64,,,81581,135100,452407,,3668890,,164446,,1394460,7510000,,0,,,,0,,7120,17340,52672,141770,,43784,114979,,,0,840000,4540000,11530000
JOHNSON&JOHNSON,2019,254,51,,,82059,132200,415094,,3528330,,129168,,1335570,7770000,,0,,,,0,,6296,15961,53425,141848,,44337,117193,,,0,810000,4570000,11580000
JOHNSON&JOHNSON,2020,45,65,,,82584,136400,363924,,3320555.821,,170279.14,,1225565.36,7310000,,0,,,,0,,7623,10393,53944,129090,,44883,113424,,,0,750000,4280000,10880000
PFIZER,2016,,,,,52824,96500,940953,,,,,,,,,,,,,,,,,,,,,,,,15830000,,,
PFIZER,2017,,,,,52546,90200,788838,,4722222.6,,,,,,,164000,14500,,,,,,,131100,32900,,51000,18400,,80100,14760000,,,
PFIZER,2018,,,,,53647,92400,756964,,5658241,77498,120034,270696,2737326,,,161400,23400,,,,,,,118800,42600,,48200,19200,,70600,15510000,,,
PFIZER,2019,,,,,51750,88300,697313,,4722222.6,,,,,,,,22500,,,,,23100,15400,131900,41200,,51800,18700,,80100,15050000,,,
PFIZER,2020,,,,,41908,78500,654460,,4499278,95296,70635,122222,2713435,,,168100,20900,,,,,27500,13800,128300,39800,,46100,18900,103120,82200,14010000,,,
PFIZER,2021,,,,,81288,79000,662438,1339701,,,,,,23500000,,,16100,,,,,18400,10700,82700,40100,,19500,24000,,63200,27500000,,4000000,
PING AN INS A (HK-C),2016,,,,,116627.8245,318600,,,,,,,23092.2,,,,,,,,,,,,,,,,,,,,816488,
PING AN INS A (HK-C),2017,,,,,144254.8768,342600,3774,123860,,,,,17890.2,,,,,,,,,,,,9186,,,,,,,,1101830,
PING AN INS A (HK-C),2018,,,,,163791.4543,376900,3774,123860,,,,,18961.2,,,,,,,,,,,,8957,,,,,,,,1173300,
PING AN INS A (HK-C),2019,,,,,184362.6732,376900,7156,720605,,,1754.23,,31753.1,,,,,,,,,,,,309631,,,,,,,,9279230,
PING AN INS A (HK-C),2020,,,,,187982.953,361600,2114.51,478287.47,,,42.55729,,9970.347762,,,,,,,,,,,,331125,,,,,,,,26831408,
PING AN INS A (HK-C),2021,,,,,199616.5718,355982,6121.76,376336.09,,,57.89316,,28502.75335,,,,,,,,,,,,210773,,,,,,,,5088733,
PJSC Gazprom,2016,138820,64830,,,91653.05446,467400,101240000,4508363,,,,,,11690000,,273650,,,,,,,,,,,,,,,,,,
PJSC Gazprom,2017,167400,56010,,,112272.0297,469600,113170000,5540559,,,,,,10740000,,260700,,,,,,,,,,,,,,,,,,
PJSC Gazprom,2018,183710,56490,,,131493.7639,466100,120090000,8210000,,,,,,9780000,,285900,,,,,,,,,,,,,,,,,,
PJSC Gazprom,2019,172340,59290,,,118422.8587,473800,117090000,6080000,,,,,,18890000,,264240,,,,,,,,,,,,,,,,,,
PJSC Gazprom,2020,155600,55830,,,90878.65,477600,100970000,4770000,,,,,,23080000,,272240,,,,,,,,,,,,,,,,,,
PJSC Gazprom,2021,200190,50010,,,139011.5026,479200,119870000,4700000,,,,,,21430000,,290760,,,,,,,,,,,,,,,,,,
PROCTER & GAMBLE,2016,,,,,65299,105000,2133000,2770000,16389020,,,,,,18000,640000,46000,,,532440,,,,,,,,,,8000,,,63219000,
PROCTER & GAMBLE,2017,2500,180,,,65058,95000,2122000,2437000,16666800,,,,,,19000,632000,43608,,7000,585230,,,,,,,,,,3160,,,61826000,
PROCTER & GAMBLE,2018,2500,140,,,66832,92000,2143000,1910000,16944580,,,,,,21000,624000,34944,,19000,586560,,,,,,,,,,2496,,,63666000,
PROCTER & GAMBLE,2019,2400,150,,,67684,97000,2210000,1840000,16944580,,,,,,16000,655000,24890,,8000,627490,,,,,,,,,,2620,,,63125000,
PROCTER & GAMBLE,2020,2400,100,,,70950,99000,2218000,,17500014,,,,,,15000,874000,7000,,4000,865260,,,,,,,,,,1748,,,67049000,
PROCTER & GAMBLE,2021,,,,,76100,101000,2242000,156000,17554736.27,,,,,,,,,,,,,,,,,,,,,,,,,
PROCTER & GAMBLE,2022,,,,,80187,106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Industries,2016,,,,,45514.47957,24121,22446185,673289,,,,,,28540680,,,,,,,,,,,,,,,,,140121010,62899700,,
Reliance Industries,2017,,,,,52213.17508,24167,24437399,733017,,,,,,29751930,,,,,,,,,,,,,,,,,150518830,68267930,,
Reliance Industries,2018,36730,22260,,,61283.71744,29533,31500000,820000,,,,,,30054390,,,90900,,,,,,,125450,909990,,,,,68390,155387710,68877330,,97612458
Reliance Industries,2019,34430,22610,,,82807.2,28967,29360000,1140000,,,,,,27871900,,,,,,,,,,89690,798600,,,,,,179550000,73100000,,
Reliance Industries,2020,42010,22530,,,83517.7335,26488,47500000,1450000,,,,,,,,,,,,,,,,92400,606600,,,,,,,74400000,,
Reliance Industries,2021,39880,21610,,,62814.96041,236334,44670000,1250000,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Industries,2022,37850,20740,,,103424.3182,342982,43960000,1190000,147277789.6,,,,,32940000,,,798930,,,,,,,,,,58660,,,17710,224190000,103540000,,
Shell Plc,2016,113000,83000,,,233591,91000,72000000,,266000000,,,,,,,2148000,,,,653000,,,,658000,1491000,,,,,,,,154000000,198000000
Shell Plc,2017,107000,81000,,,305179,86000,73000000,,269000000,,,,,,,2020000,,,,404000,,,,638000,1382000,,,,,,,,154000000,204000000
Shell Plc,2018,111000,74000,,,388379,82000,71000000,,268000000,,,,,,,1999000,,,,419000,,,,592000,1407000,,,,,,,,147000000,199000000
Shell Plc,2019,108000,65000,,,344877,87000,70000000,,264000000,,,,,,,2113000,,,,441000,,,,698000,1414000,,,,,,,,145000000,192000000
Shell Plc,2020,118000,36000,,,180543,87000,63000000,,241000000,,,,,,,2049000,,,,448000,,,,558000,1491000,,,,,,,,127000000,171000000
Shell Plc,2021,105000,32000,,,261504,82000,60000000,10937254,223000000,,,,,,,1993000,,,,399000,,,,1025000,969000,,,,,,,,122000000,166000000
