,General info,,,,,,,Headcount data,Scopes,,,,,,,,,,,,,Water,,,
,COMPANY_NAME,HQ_country,ISO_CODE,REPORTING_YEAR,ANNUAL_REVENUE,TOTAL_ASSETS_VALUE,SECTOR,NUMBER_OF_EMPLOYEES,SCOPE_1_EMISSIONS_TOTAL,SCOPE_2,SCOPE 1+2,GHG_INTENSITY,CONSUMPTION_TOTAL_ENERGY,TOTAL_WATER_DISCHARGE_OR_WASTEWATER_GENERATION,COD_OR_CHEMICAL_OXYGEN_DEMAND,TOTAL_WASTE_GENERATED,RECOVERED_OR_RECYCLED_TOTAL_WASTE,TOTAL_HAZARDOUS_WASTE_GENERATED,TOTAL_NON_HAZARDOUS_WASTE_GENERATED,RECOVERED_HAZARDOUS_WASTE,RECOVERED_NON_HAZARDOUS_WASTE,WITHDRAWAL_TOTAL_WATER,RECYCLED_WATER_OR_REUSE_WATER_OR_TREATED_WATER,CONSUMPTION_TOTAL_WATER,WITHDRAWAL_TOTAL_FRESHWATER
171,ALPHABET INC-A,USA,DEU,2016,90272,1,Information Technology,72053,66218,,,,6513720,,,,34877,,43058,,,9463529.45,,9463520,
172,ALPHABET INC-A,USA,DEU,2017,110855,1,Information Technology,80110,66549,,,,8029410,,,,44291.3,,53363,,,11624999.58,,11625000,
173,ALPHABET INC-A,USA,DEU,2018,136819,1,Information Technology,98771,63521,,,,10572500,,,,45690.4,,57113,,,15785167.12,,15785200,
174,ALPHABET INC-A,USA,DEU,2019,161857,1,Information Technology,118899,66686,,,,12749500,6620680,,,39228.9,,51617,,,19536500,,12915800,
175,ALPHABET INC-A,USA,DEU,2020,182527,1,Information Technology,135301,38694,,,,15439538,7343698.853,,,22225.28,,28864,,,21535207.62,,14191508.76,
176,ALPHABET INC-A,USA,DEU,2021,257637,1,Information Technology,156500,45073,,,"7,3",18571659,6567689.438,,,21677.81,,28153,,,23836737.98,,17269048.54,
177,AMAZON.COM INC,USA,USA,2016,135987,1,Retail,341400,2272176,1818190,4090366,,,,,,,,,,,,,,
178,AMAZON.COM INC,USA,USA,2017,177866,1,Retail,566000,2971922,2378126,5350048,,,,,,,,,,,,,,
179,AMAZON.COM INC,USA,USA,2018,232887,1,Retail,647500,4980000,4710000,9690000,,,,,,,,,,,,,,
180,AMAZON.COM INC,USA,USA,2019,280522,1,Retail,798000,5760000,5500000,11260000,,,,,,,,,,,,,,
181,AMAZON.COM INC,USA,USA,2020,386064,1,Retail,1298000,9620000,5270000,14890000,,,,,,,,,,,,,,
182,AMAZON.COM INC,USA,USA,2021,469822,1,Retail,1608000,12110000,4070000,16180000,"34,4",,,,,,,,,,,,,
183,APPLE,USA,USA,2016,215639,1,Electronics,116000,34370,,,,,,,29393.80054,12588.7,1021.13,,,,2384810,0,,0
184,APPLE,USA,USA,2017,229234,1,Electronics,123000,45400,,,,,,,52973.13121,30872.5,1492.28,,,,3785410,90849.8,,3391730
185,APPLE,USA,USA,2018,265595,1,Electronics,132000,54590,,,,,,,52024.10798,30127.6,2802.59,,,,4762050,238481,,3993610
186,APPLE,USA,USA,2019,260174,1,Electronics,137000,50540,,,,,,,57483.55965,32797.9,2721.69,,,,4989170,401253,,4357010
187,APPLE,USA,USA,2020,274515,1,Electronics,147000,47430,,,,,,,44991.68605,28838.66608,1809.720487,,,,4871822.67,427751.33,,4421358.88
188,APPLE,USA,USA,2021,365817,1,Electronics,154000,55200,,,"34,4",,2918552.482,,51660.81299,33101.42017,1574.037225,,,,5326074.374,533743.061,,4765833.431
190,AT&T,USA,USA,2016,163786,1,Telecommunications,268540,1080000,,,,20000000,,,,,,,,,,,11620000,
191,AT&T,USA,USA,2017,160546,1,Telecommunications,254000,1070000,6950000,8020235.98,,19500000,,,201395,67585,,,,,,,9840000,
192,AT&T,USA,USA,2018,170756,1,Telecommunications,268220,1020000,6660000,7749419.54,,18700000,,,191865,72412,162.2,191703,79.96,72323,,,9650000,
193,AT&T,USA,USA,2019,181193,1,Telecommunications,247800,990000,5530000,6525122.31,,17900000,,,245645,91995,24.89,245620,4.84,91958,,,11400000,
194,AT&T,USA,USA,2020,171760,1,Telecommunications,230760,1040000,,,,17500000,,,199749,80008,35.51,199714,13.9,79994,,,10130000,
195,AT&T,USA,USA,2021,168864,1,Telecommunications,203000,997129,,,"36,8
 0,4",17000000,,,190223,76626,168.81,190054,132.01,76494,,,10150000,
196,AXA,France,FRA,2016,110861.7838,1,Financial services,115819,34246,57289,91535,,404466,,,,,,8960,,4253,,,1008150,
197,AXA,France,FRA,2017,111102.3426,1,Financial services,115328,"32,950",55120,"88,070",,363283,,,,,,7889,,3588,,,927017,
198,AXA,France,FRA,2018,121422.5013,1,Financial services,124355,38778,69160,107938,,344684,,,,,,7735,,3223,,,1003960,
199,AXA,France,FRA,2019,115899.4151,1,Financial services,121337,37889,62765,100654,,305484,,,,,,6935,,2289,,,850506,
200,AXA,France,FRA,2020,107212.6094,1,Financial services,117623,26292,40894,67186,,260992,,,,,,5430,,2715,,,566155,
201,AXA,France,FRA,2021,118219.8011,1,Financial services,114749,23362,56767,,"36,8
 0,4",233927,,,,,,4289,,2144.5,,,370300,
202,BANK OF AMERICA CORP,USA,USA,2016,83701,1,Financial services,210247,84825,,,,2450468.252,6564000,,113191,73370,,113191,642,72728,8380000,,,
203,BANK OF AMERICA CORP,USA,USA,2017,87126,1,Financial services,209376,59451,,,,2372102.69,6375000,,100657,54965,,100657,1051,53914,8010000,,,
204,BANK OF AMERICA CORP,USA,USA,2018,91020,1,Financial services,204489,62258,,,,2303729.907,6038000,,95089,52664,,95089,670,51994,7730000,,,
205,BANK OF AMERICA CORP,USA,USA,2019,91244,1,Financial services,208131,62639,,,,2254529.347,,,103428,60363,,102961,466,59897,7550000,,,
206,BANK OF AMERICA CORP,USA,USA,2020,85528,1,Financial services,213000,53390,,,,2109927.113,,,76752,47637,,76241,511,47126,6690000,,,
207,BANK OF AMERICA CORP,USA,USA,2021,89113,1,Financial services,208000,57076,,,"6,9
 267,4",2062120.165,,,67282,45325,,66775,507,44818,6325000,,,
208,BERKSHIRE HATHAWAY B,USA,USA,2016,215114,1,Electricity Utilities,367671,732137,542198,1274335,,,,,,,,,,,,,,
209,BERKSHIRE HATHAWAY B,USA,USA,2017,239933,1,Electricity Utilities,377291,732137,542201,1274338,,,,,,,,,,,,,,
210,BERKSHIRE HATHAWAY B,USA,USA,2018,247837,1,Electricity Utilities,389373,732137,542202,1274339,,,,,,,,,,,,,,
211,BERKSHIRE HATHAWAY B,USA,USA,2019,254616,1,Electricity Utilities,391539,732137,542203,1274340,,,,,,,,,,,,,,
212,BERKSHIRE HATHAWAY B,USA,USA,2020,245510,1,Electricity Utilities,360000,732137,542202,1274339,,,,,,,,,,,,,,
213,BERKSHIRE HATHAWAY B,USA,USA,2021,276094,1,Electricity Utilities,371653,732137,542205,,"6,9
 267,4",,,,,,,,,,,,,
214,BMW STAMM,Germany,DEU,2016,104189.6954,1,Autos,124729,562146,868089,1430235,,5783841,3312562,2085.398,762924,754486,35074,727364,30855,723632,,,5017816,
215,BMW STAMM,Germany,DEU,2017,110801.3317,1,Autos,129932,625072,510911,1135983,,5852666,3633306,2273.678,785209,776179,41371,743838,36379,739799,,,5073220,
216,BMW STAMM,Germany,DEU,2018,114318.2569,1,Autos,134682,581703,538622,1120325,,5788965,3432982,1902.577,789817,779911,41976,747841,37259,742652,,,5425073,
217,BMW STAMM,Germany,DEU,2019,116658.4056,1,Autos,126016,642259,302574,944833,,5974625,3578497,1960.211,780911,771162,49466,731445,44572,726590,,,5417428,
218,BMW STAMM,Germany,DEU,2020,109725.4655,1,Autos,120726,678967,130090,809057,,6040824,3378877,1491.848,775459,,48149,727311,44267,724025,,,4722310,
219,BMW STAMM,Germany,DEU,2021,131597.3267,1,Autos,118909,699713,134849,,"251,5",6476955,,,829498,822848,,,,,,,4924477,
220,BP,USA,GBR,2016,183008,1,Oil & Gas,74500,51400000,6200000,57600000,,210833350.2,76000000,3307,,130400,228400,242400,,,,800000,87400000,255700000
221,BP,USA,GBR,2017,240208,1,Oil & Gas,74000,50500000,6100000,56600000,,206111127.6,80000000,2650,,136000,171000,286500,,,,600000,90500000,274900000
222,BP,USA,GBR,2018,298756,1,Oil & Gas,73000,48800000,5400000,54200000,,209722239,78000000,2804,,112700,182800,241500,,,,2200000,88200000,268800000
223,BP,USA,GBR,2019,159307,1,Oil & Gas,70100,49200000,5200000,54400000,,211111128,78000000,2825,,194000,142600,228300,,,,2300000,91100000,281000000
224,BP,USA,GBR,2020,105944,1,Oil & Gas,63600,41700000,3800000,45500000,,180460000,76000000,2340,,,133700,406300,53100,203200,,3100000,75400000,275600000
225,BP,USA,GBR,2021,157739,1,Oil & Gas,65900,33200000,2400000,,"251,5",128805000,59000000,1741,,,156500,370100,59100,194500,,2400000,53600000,239400000
226,CHEVRON CORP,USA,USA,2016,110215,1,Oil & Gas,51953,66000000,,,,243333352.8,,,,,600000,,300000,,,,79000000,80000000
227,CHEVRON CORP,USA,USA,2017,134674,1,Oil & Gas,51754,67000000,,,,246944464.2,,,,,400000,,100000,,,,71000000,72000000
228,DEUTSCHE TELEKOM,Germany,DEU,2020,111953.4269,1,Telecommunications,226291,235261,,,,12800000,,,,,7886,70528,,,,,2815364,
229,DEUTSCHE TELEKOM,Germany,DEU,2021,128711.9549,1,Telecommunications,216528,218731,,,"39,2",13300000,,,86636,,7312,79325,,,,,2634203,
230,EXXON MOBIL CORP,USA,USA,2016,200628,1,Oil & Gas,71000,105000000,8000000,113000000,,416666666.7,,,,,1500000,,,,,,280000000,430000000
231,EXXON MOBIL CORP,USA,USA,2017,237162,1,Oil & Gas,70000,100000000,9000000,109000000,,388888888.9,,,,,1700000,,,,,,290000000,440000000
232,EXXON MOBIL CORP,USA,USA,2018,279332,1,Oil & Gas,71000,101000000,9000000,110000000,,416666666.7,,,,,1200000,,,,,,310000000,470000000
233,EXXON MOBIL CORP,USA,USA,2019,255583,1,Oil & Gas,75000,97000000,9000000,106000000,,4166666667,,,,,1600000,,,,,,300000000,460000000
234,EXXON MOBIL CORP,USA,USA,2020,178574,1,Oil & Gas,72000,92000000,7000000,99000000,,416666666.7,,,,,1000000,,,,,,300000000,460000000
235,EXXON MOBIL CORP,USA,USA,2021,276692,1,Oil & Gas,63000,92000000,7000000,,27,416666666.7,,,,,,,,,,,,
236,FACEBOOK INC-A,USA,USA,2016,27638,1,Information Technology,17048,9000,,,,,,,,,,,,,1129000,426000,,
237,FACEBOOK INC-A,USA,USA,2017,40653,1,Information Technology,25105,25000,591000,616000,,,,,,,,,,,1609000,469000,838000,
238,FACEBOOK INC-A,USA,USA,2018,55838,1,Information Technology,33587,42000,314000,356000,,,,,,,,,,,2367000,673000,1279000,
239,FACEBOOK INC-A,USA,USA,2019,70697,1,Information Technology,44942,44000,208000,251000,,,,,,,,,,,3430000,854000,1971000,
240,FACEBOOK INC-A,USA,USA,2020,85965,1,Information Technology,58604,29000,9000,38000,,7520833.935,1524000,,,,,,,,3726000,643000,2202000,
241,FACEBOOK INC-A,USA,USA,2021,117929,1,Information Technology,71970,55000,2000,,27,10275834.16,2474000,,,,,,,,5043000,580000,2569000,
242,FORD MOTOR CO,USA,USA,2016,151800,1,Autos,201000,1300000,3310000,4610000,,,11000000,,,,,,,,,,24700000,
243,FORD MOTOR CO,USA,USA,2017,156776,1,Autos,202275,1320000,3120000,4440000,,,11200000,,,,,,,,,,24100000,
244,FORD MOTOR CO,USA,USA,2018,160338,1,Autos,198964,1270000,3110000,4380000,,13800000,10300000,,1360000,,51700,1303100,17600,1207500,,,22300000,
245,FORD MOTOR CO,USA,USA,2019,155900,1,Autos,190433,1140000,2600000,3740000,,12970000,9100000,,1216000,,44200,1166000,15500,1080100,19417000,,19400000,
246,FORD MOTOR CO,USA,USA,2020,127144,1,Autos,186401,940000,2020000,2960000,,10440000,6300000,,986000,,39600,946300,19800,905800,,,15600000,
247,FORD MOTOR CO,USA,USA,2021,136341,1,Autos,182789,1080000,2070000,,27,9840000,7100000,,,,36800,,10400,762500,,,14200000,
248,HSBC HOLDINGS (GB),UK,GBR,2016,41180,1,Financial services,235175,"25,719",444110,529000,,1250000,,,,,,26000,,18000,,,2841000,
249,HSBC HOLDINGS (GB),UK,GBR,2017,40028,1,Financial services,228687,27648,,473000,,1134000,,,,,,25000,,16000,,,2691000,
250,HSBC HOLDINGS (GB),UK,GBR,2018,45139,1,Financial services,240578,26403,,437000,,1092000,,,,,,23000,,14000,,,2425000,
251,HSBC HOLDINGS (GB),UK,GBR,2019,41487,1,Financial services,240946,28025,,414000,,1049000,,,,,,21000,,13000,,,2400000,
252,HSBC HOLDINGS (GB),UK,GBR,2020,38080,1,Financial services,231040,25228,,363000,,928000,,,,,,17000,,10000,,,2065000,
253,HSBC HOLDINGS (GB),UK,GBR,2021,37139,1,Financial services,219697,22000,307000,,"5,4",833,,,13000,8000,,,,,,,1594000,
255,INTEL CORP,USA,USA,2016,59387,1,Information Technology,106000,976000,,1620000,,6500000,32009440,,177000,,63600,81000,49700,66000,,17428030,,35580000
256,INTEL CORP,USA,USA,2017,62761,1,Information Technology,102700,1490000,,2460000,,7330000,34390500,,183000,,78800,108000,53800,92000,,13260000,10288740,42055000
257,INTEL CORP,USA,USA,2018,70848,1,Information Technology,107400,1458000,,2580000,,8340000,40168000,,205000,,95200,129000,64900,116000,51710000,16475000,11541000,48421000
258,INTEL CORP,USA,USA,2019,71965,1,Information Technology,110800,1489000,,2790000,,9570000,43621000,,387000,,124700,262000,100400,244000,54651000,16477000,11028000,47546000
259,INTEL CORP,USA,USA,2020,77867,1,Information Technology,110600,1973000,909000,2882000,,10650000,47261000,,414000,,143000,271200,111540,254928,60279000,13017000,13017000,52428000
260,INTEL CORP,USA,USA,2021,79000,1,Information Technology,121100,2181000,,3274000,"41,4",11638889.82,49739000,,344000,,148000,109900,109520,97811,60530000,,10791000,54102000
261,JOHNSON&JOHNSON,USA,DEU,2016,71890,1,Pharmaceutical,126400,463622,,,,3558610,7780000,,0,0,52392,125526,36724,91609,0,880000,4210000,10680000
262,JOHNSON&JOHNSON,USA,DEU,2017,76450,1,Pharmaceutical,134000,474497,,,,3523610,7650000,,0,0,48743,137732,37833,105522,0,910000,4480000,11390000
263,JOHNSON&JOHNSON,USA,DEU,2018,81581,1,Pharmaceutical,135100,452407,,,,3668890,7510000,,0,0,52672,141770,43784,114979,0,840000,4540000,11530000
264,JOHNSON&JOHNSON,USA,DEU,2019,82059,1,Pharmaceutical,132200,415094,,,,3528330,7770000,,0,0,53425,141848,44337,117193,0,810000,4570000,11580000
265,JOHNSON&JOHNSON,USA,DEU,2020,82584,1,Pharmaceutical,136400,363924,,,,3320555.821,7310000,,0,0,53944,129090,44883,113424,0,750000,4280000,10880000
266,PFIZER,USA,USA,2016,52824,1,Pharmaceutical,96500,940953,,2047873,,,,,,,,,,,15830000,,,
267,PFIZER,USA,USA,2017,52546,1,Pharmaceutical,90200,788838,,1648529,,4722222.6,,,164000,,131100,32900,51000,18400,14760000,,,
268,PFIZER,USA,USA,2018,53647,1,Pharmaceutical,92400,756964,,1676750,,5658241,,,161400,,118800,42600,48200,19200,15510000,,,
269,PFIZER,USA,USA,2019,51750,1,Pharmaceutical,88300,697313,,1302584,,4722222.6,,,,,131900,41200,51800,18700,15050000,,,
270,PFIZER,USA,USA,2020,41908,1,Pharmaceutical,78500,654460,,1206037,,4499278,,,168100,,128300,39800,46100,18900,14010000,,,
271,PFIZER,USA,USA,2021,81288,1,Pharmaceutical,79000,662438,1339701,1172000,"14,3",,23500000,,,,82700,40100,19500,24000,27500000,,4000000,
272,PING AN INS A (HK-C),China,CHN,2016,116627.8245,1,Financial services,318600,,,,,,,,,,,,,,,,816488,
273,PING AN INS A (HK-C),China,CHN,2017,144254.8768,1,Financial services,342600,3774,123860,127634,,,,,,,,9186,,,,,1101830,
274,PING AN INS A (HK-C),China,CHN,2018,163791.4543,1,Financial services,376900,3774,123860,127634,,,,,,,,8957,,,,,1173300,
275,PING AN INS A (HK-C),China,CHN,2019,184362.6732,1,Financial services,376900,7156,720605,727761,,,,,,,,309631,,,,,9279230,
276,PING AN INS A (HK-C),China,CHN,2020,187982.953,1,Financial services,361600,2114.51,478287.47,480401.98,,,,,,,,331125,,,,,26831408,
277,PING AN INS A (HK-C),China,CHN,2021,199616.5718,1,Financial services,355982,6121.76,376336.09,,"2,4",,,,,,,210773,,,,,5088733,
278,PJSC Gazprom,Russia,RUS,2016,91653.05446,1,Oil & Gas,467400,101240000,4508363,105748363,,,11690000,,273650,,,,,,,,,
279,PJSC Gazprom,Russia,RUS,2017,112272.0297,1,Oil & Gas,469600,113170000,5540559,118710559,,,10740000,,260700,,,,,,,,,
280,PJSC Gazprom,Russia,RUS,2018,131493.7639,1,Oil & Gas,466100,120090000,8210000,128300000,,,9780000,,285900,,,,,,,,,
281,PJSC Gazprom,Russia,RUS,2019,118422.8587,1,Oil & Gas,473800,117090000,6080000,123170000,,,18890000,,264240,,,,,,,,,
282,PJSC Gazprom,Russia,RUS,2020,90878.65,1,Oil & Gas,477600,100970000,4770000,105740000,,,23080000,,272240,,,,,,,,,
283,PJSC Gazprom,Russia,RUS,2021,139011.5026,1,Oil & Gas,479200,119870000,4700000,,"61,5",,21430000,,290760,,,,,,,,,
284,PROCTER & GAMBLE,USA,USA,2016,65299,1,Pharmaceutical,105000,2133000,2770000,4903000,,16389020,,18000,640000,532440,,,,,,,63219000,
285,PROCTER & GAMBLE,USA,USA,2017,65058,1,Pharmaceutical,95000,2122000,2437000,4559000,,16666800,,19000,632000,585230,,,,,,,61826000,
286,PROCTER & GAMBLE,USA,USA,2018,66832,1,Pharmaceutical,92000,2143000,1910000,4053000,,16944580,,21000,624000,586560,,,,,,,63666000,
287,PROCTER & GAMBLE,USA,USA,2019,67684,1,Pharmaceutical,97000,2210000,1840000,4050000,,16944580,,16000,655000,627490,,,,,,,63125000,
288,PROCTER & GAMBLE,USA,USA,2020,70950,1,Pharmaceutical,99000,2218000,,,,17500014,,15000,874000,865260,,,,,,,67049000,
289,PROCTER & GAMBLE,USA,USA,2021,76100,1,Pharmaceutical,101000,2242000,156000,,"61,5",17554736.27,,,,,,,,,,,,
290,PROCTER & GAMBLE,USA,USA,2022,80187,1,Pharmaceutical,106000,,,,,,,,,,,,,,,,,
291,Reliance Industries,India,IND,2016,45514.47957,1,Oil & Gas,24121,22446185,673289,23119474,,,28540680,,,,,,,,140121010,62899700,,
292,Reliance Industries,India,IND,2017,52213.17508,1,Oil & Gas,24167,24437399,733017,25170416,,,29751930,,,,,,,,150518830,68267930,,
293,Reliance Industries,India,IND,2018,61283.71744,1,Oil & Gas,29533,31500000,820000,32320000,,,30054390,,,,125450,909990,,,155387710,68877330,,97612458
294,Reliance Industries,India,IND,2019,82807.2,1,Oil & Gas,28967,29360000,1140000,30500000,,,27871900,,,,89690,798600,,,179550000,73100000,,
295,Reliance Industries,India,IND,2020,83517.7335,1,Oil & Gas,26488,47500000,1450000,48950000,,,,,,,92400,606600,,,,74400000,,
296,Reliance Industries,India,IND,2021,62814.96041,1,Oil & Gas,236334,44670000,1250000,,"488,7",,,,,,,,,,,,,
297,Reliance Industries,India,IND,2022,103424.3182,1,Oil & Gas,342982,43960000,1190000,45150000,,147277789.6,32940000,,,,,,58660,,224190000,103540000,,
298,Shell Plc,Netherlands,GBR,2016,233591,1,Oil & Gas,91000,72000000,,72000000,,266000000,,,2148000,653000,658000,1491000,,,,,154000000,198000000
299,Shell Plc,Netherlands,GBR,2017,305179,1,Oil & Gas,86000,73000000,,73000000,,269000000,,,2020000,404000,638000,1382000,,,,,154000000,204000000
300,Shell Plc,Netherlands,GBR,2018,388379,1,Oil & Gas,82000,71000000,,71000000,,268000000,,,1999000,419000,592000,1407000,,,,,147000000,199000000
301,Shell Plc,Netherlands,GBR,2019,344877,1,Oil & Gas,87000,70000000,,70000000,,264000000,,,2113000,441000,698000,1414000,,,,,145000000,192000000
302,Shell Plc,Netherlands,GBR,2020,180543,1,Oil & Gas,87000,63000000,,63000000,,241000000,,,2049000,448000,558000,1491000,,,,,127000000,171000000
303,Shell Plc,Netherlands,GBR,2021,261504,1,Oil & Gas,82000,60000000,10937254,,,223000000,,,1993000,399000,1025000,969000,,,,,122000000,166000000
